,formula,Temperature,target,ei,std
243,Nb76Al2C3Co19,24,210.8227402,7.28E-08,18.05241848
78,Nb91Al1C4Co4,24,177.2542752,7.23E-08,23.97832708
79,Nb90Al1C4Co5,24,180.1215648,7.23E-08,23.47294258
868,Nb69Al5C7Co19,24,208.2253558,7.22E-08,18.50860193
381,Nb88Al3C2Co7,24,183.5219001,7.20E-08,22.87145615
47,Nb74Al1C2Co23,24,204.0663441,7.04E-08,19.23026694
780,Nb85Al5C4Co6,24,198.3576949,7.02E-08,20.23807408
410,Nb83Al3C3Co11,24,202.7415719,7.01E-08,19.46272095
820,Nb69Al5C5Co21,24,210.4150523,6.96E-08,18.0998887
470,Nb71Al3C5Co21,24,213.6831218,6.95E-08,17.52000096
68,Nb77Al1C3Co19,24,210.9554323,6.94E-08,18.00295612
66,Nb79Al1C3Co17,24,209.7613471,6.92E-08,18.21260608
534,Nb85Al4C1Co10,24,191.0845529,6.86E-08,21.5065713
421,Nb72Al3C3Co22,24,208.4430232,6.82E-08,18.43774626
988,Nb75Al6C5Co14,24,215.9846416,6.78E-08,17.09846037
206,Nb89Al2C2Co7,24,181.7316506,6.78E-08,23.14483222
145,Nb72Al1C6Co21,24,208.009531,6.78E-08,18.51110764
825,Nb88Al5C6Co1,24,195.5371712,6.77E-08,20.71359863
393,Nb76Al3C2Co19,24,213.0066822,6.77E-08,17.62547325
387,Nb82Al3C2Co13,24,200.8865161,6.76E-08,19.7690261
215,Nb80Al2C2Co16,24,207.0209511,6.76E-08,18.68457782
408,Nb85Al3C3Co9,24,198.2179998,6.74E-08,20.23811943
777,Nb88Al5C4Co3,24,189.533515,6.69E-08,21.76328226
770,Nb71Al5C3Co21,24,216.8682557,6.65E-08,16.93217763
358,Nb87Al3C1Co9,24,186.3473971,6.62E-08,22.31704847
73,Nb72Al1C3Co24,24,206.7142135,6.60E-08,18.72545421
614,Nb77Al4C4Co15,24,216.3295984,6.59E-08,17.02268208
386,Nb83Al3C2Co12,24,200.9779256,6.57E-08,19.73568454
567,Nb76Al4C2Co18,24,213.1474047,6.53E-08,17.58131705
977,Nb86Al6C5Co3,24,198.8888791,6.53E-08,20.09990012
366,Nb79Al3C1Co17,24,209.1059984,6.49E-08,18.29257698
230,Nb89Al2C3Co6,24,180.9090339,6.44E-08,23.254173
559,Nb84Al4C2Co10,24,193.9026241,6.44E-08,20.97034445
222,Nb73Al2C2Co23,24,207.4728855,6.41E-08,18.5743137
759,Nb82Al5C3Co10,24,212.5167751,6.32E-08,17.67579541
249,Nb70Al2C3Co25,24,208.1376032,6.28E-08,18.44589563
271,Nb72Al2C4Co22,24,207.5222163,6.23E-08,18.54992464
237,Nb82Al2C3Co13,24,200.0163181,6.22E-08,19.87252893
205,Nb90Al2C2Co6,24,176.8791312,6.13E-08,23.92509581
324,Nb67Al2C6Co25,24,202.5584414,6.01E-08,19.40455341
789,Nb76Al5C4Co15,24,217.5244895,5.95E-08,16.75811819
123,Nb70Al1C5Co24,24,205.7402088,5.93E-08,18.83589805
498,Nb67Al3C6Co24,24,203.4019309,5.93E-08,19.2474889
616,Nb75Al4C4Co17,24,215.3610232,5.92E-08,17.13792885
741,Nb76Al5C2Co17,24,218.3109016,5.91E-08,16.61624786
256,Nb87Al2C4Co7,24,190.1022403,5.90E-08,21.58187964
370,Nb75Al3C1Co21,24,211.1049926,5.71E-08,17.86995982
248,Nb71Al2C3Co24,24,207.107328,5.66E-08,18.56929744
582,Nb85Al4C3Co8,24,195.2343846,5.65E-08,20.65411946
359,Nb86Al3C1Co10,24,188.6516896,5.62E-08,21.80442493
124,Nb69Al1C5Co25,24,204.887972,5.59E-08,18.95220375
357,Nb88Al3C1Co8,24,184.6322979,5.58E-08,22.50361526
77,Nb92Al1C4Co3,24,173.9778053,5.56E-08,24.36308166
767,Nb74Al5C3Co18,24,218.69203,5.52E-08,16.51473389
542,Nb77Al4C1Co18,24,214.4910634,5.50E-08,17.25361706
392,Nb77Al3C2Co18,24,212.9095352,5.48E-08,17.53056904
993,Nb70Al6C5Co19,24,210.0378033,5.48E-08,18.0357474
790,Nb75Al5C4Co16,24,217.1100537,5.48E-08,16.78966435
274,Nb69Al2C4Co25,24,207.7795394,5.46E-08,18.43106584
954,Nb85Al6C4Co5,24,199.2884155,5.46E-08,19.92179101
368,Nb77Al3C1Co19,24,212.2656503,5.42E-08,17.63791926
753,Nb88Al5C3Co4,24,185.5379003,5.37E-08,22.31994127
769,Nb72Al5C3Co20,24,217.2240323,5.36E-08,16.75868025
241,Nb78Al2C3Co17,24,212.1148904,5.31E-08,17.65327661
932,Nb83Al6C3Co8,24,208.474757,5.31E-08,18.29299776
560,Nb83Al4C2Co11,24,204.0067738,5.29E-08,19.07581947
384,Nb85Al3C2Co10,24,190.1750907,5.28E-08,21.49826263
242,Nb77Al2C3Co18,24,211.8863666,5.26E-08,17.68832158
955,Nb84Al6C4Co6,24,197.8583048,5.25E-08,20.14962596
299,Nb68Al2C5Co25,24,205.7216408,5.21E-08,18.76623574
756,Nb85Al5C3Co7,24,197.5696766,5.19E-08,20.19345982
44,Nb77Al1C2Co20,24,208.2201449,5.18E-08,18.32483519
976,Nb87Al6C5Co2,24,193.6241046,5.12E-08,20.87562771
558,Nb85Al4C2Co9,24,190.7419319,5.11E-08,21.37764986
423,Nb70Al3C3Co24,24,208.2792846,5.10E-08,18.30596418
742,Nb75Al5C2Co18,24,218.9385875,5.10E-08,16.43148634
9,Nb88Al1C1Co10,24,185.9858681,5.07E-08,22.20272292
776,Nb89Al5C4Co2,24,183.1388281,5.06E-08,22.69821968
536,Nb83Al4C1Co12,24,198.0261632,5.02E-08,20.09301959
361,Nb84Al3C1Co12,24,188.8957272,4.98E-08,21.68397158
599,Nb68Al4C3Co25,24,209.1303513,4.95E-08,18.14002209
416,Nb77Al3C3Co17,24,213.1920889,4.95E-08,17.42691009
148,Nb69Al1C6Co24,24,205.6028258,4.86E-08,18.74843809
796,Nb69Al5C4Co22,24,210.2355509,4.86E-08,17.93630131
34,Nb87Al1C2Co10,24,184.2190116,4.81E-08,22.47710618
755,Nb86Al5C3Co6,24,191.9051374,4.79E-08,21.1333131
800,Nb89Al5C5Co1,24,188.4087815,4.77E-08,21.74132087
606,Nb85Al4C4Co7,24,200.4717652,4.74E-08,19.63128312
67,Nb78Al1C3Co18,24,211.0823342,4.73E-08,17.77316683
394,Nb75Al3C2Co20,24,213.330692,4.66E-08,17.371109
440,Nb77Al3C4Co16,24,216.5713123,4.65E-08,16.8015516
184,Nb87Al2C1Co10,24,186.655921,4.63E-08,22.02761803
605,Nb86Al4C4Co6,24,194.9617165,4.61E-08,20.57648534
216,Nb79Al2C2Co17,24,209.6413346,4.57E-08,18.00749967
417,Nb76Al3C3Co18,24,212.6489155,4.56E-08,17.4790564
569,Nb74Al4C2Co20,24,214.8307084,4.52E-08,17.09270729
646,Nb69Al4C5Co22,24,206.9946592,4.48E-08,18.45993576
757,Nb84Al5C3Co8,24,198.3170598,4.48E-08,19.97505521
98,Nb71Al1C4Co24,24,207.0010319,4.46E-08,18.45588473
650,Nb89Al4C6Co1,24,192.5353556,4.42E-08,20.97392406
8,Nb89Al1C1Co9,24,182.0089889,4.28E-08,22.78332044
941,Nb74Al6C3Co17,24,218.7729542,4.26E-08,16.37249339
844,Nb69Al5C6Co20,24,209.0148224,4.20E-08,18.07126083
99,Nb70Al1C4Co25,24,206.8174999,4.14E-08,18.44660897
781,Nb84Al5C4Co7,24,203.3788702,4.13E-08,19.04474578
41,Nb80Al1C2Co17,24,198.6658191,4.10E-08,19.86214279
590,Nb77Al4C3Co16,24,217.5158558,4.09E-08,16.57276866
975,Nb88Al6C5Co1,24,192.3426809,4.09E-08,20.95917579
791,Nb74Al5C4Co17,24,216.0159703,4.02E-08,16.82630043
11,Nb86Al1C1Co12,24,187.8952098,3.99E-08,21.71614728
779,Nb86Al5C4Co5,24,197.5573502,3.99E-08,20.03818677
403,Nb90Al3C3Co4,24,172.9243668,3.96E-08,24.30285463
